split,event_id_cnty,event_date,year,country,notes,clean_notes,note_hash,duplicate_group_id
dev,ROU173,2018-08-11,2018,Romania,"On 11 August 2018, protesters in Piatra Neamt rallied against corruption and the policies of the Romanian government.",protester piatra neamt rallied corruption policy romanian government,024bb8c0f31a94d04b3d390cbf438df2cc2e3a6586a159fb4fa3b248d914418b,note-024bb8c0f31a94d0
dev,ROU756,2018-09-16,2018,Romania,"On 16 September 2018, approximately 30 people protested outside the Sibiu tribunal, condemning the government attacks against the judiciary.",approximately 30 people protested outside sibiu tribunal condemning government attack judiciary,7fd824e56c0696676d881e13f173574be41ed53512db4f452b6f6199ccf34892,note-7fd824e56c069667
dev,BGR279,2018-11-15,2018,Bulgaria,"On Nov. 15, 2018: Mothers of children with disabilities protested demanding the resignation of deputy Prime Minister Valeri Simeonov over his insulting comments.",mother child disability protested demanding resignation deputy prime minister valeri simeonov insulting comment,234e3ffedf26776cb040426aea4dea663f5ef46e9e58c9d4548629f2fe44e429,note-234e3ffedf26776c
dev,GRC286,2018-11-23,2018,Greece,"On 23 November 2018, about 10 members of Rouvikonas threw flyers at the premises of a construction company in northern Athens to protest the construction of a landfill planned in Corfu.",10 member rouvikonas threw flyer premise construction company northern athens protest construction landfill planned corfu,6fbb1e84f277647eb93fbfda278bf3564e010d6eec2b20c6fc6e8c291260deb3,note-6fbb1e84f277647e
dev,HRV248,2019-04-06,2019,Croatia,"On 6 April 2019, in Croatian capital Zagreb, over 200 people protested over the announced closure of Europe Cinema, the oldest active cinema in Croatia.",croatian capital zagreb 200 people protested announced closure europe cinema oldest active cinema croatia,c922becd948f670faf116377b8655a5591f6fc3efae7fd1f36808c7c1ee1f064,note-c922becd948f670f
dev,BGR624,2019-08-08,2019,Bulgaria,"On 8 August 2019, about 20 pig owners continued the blockade of the Yambol-Sliven road in protest against the government's decision to slaughter their pigs due to a swine fever epidemic.",20 pig owner continued blockade yambol sliven road protest government decision slaughter pig due swine fever epidemic,900c514ec899ce3d0dc1ca4138b3a07579cfc94b68f434b388ed5a5ec745f641,note-900c514ec899ce3d
dev,DEU131,2020-01-13,2020,Germany,"On 13 January 2020, about 150 people, including FFF and students, protested in front of the Siemens office in Munchen against the company's decision to maintain its participation in a coal project by Adani in Australia.",150 people including fff student protested front siemens office munchen company decision maintain participation coal project adani australia,7cef28fd954200476f4ba774ab37064db32b5154b7efebbd82de191272a05561,note-7cef28fd95420047
dev,POL16,2020-01-14,2020,Poland,"On 14 January 2020, activists gathered in Krakow for a rally, protesting against allegedly extensive hunting of wild boars in the country.",activist gathered krakow rally protesting allegedly extensive hunting wild boar country,80c89d82ce2af0644fbcba43128a36a3b31e6ae4e128157dbd52711d8df3ae34,note-80c89d82ce2af064
dev,ITA324,2020-01-25,2020,Italy,"On 25 January 2020, people gathered by the Esino river near Ancona to protest against the excessive use of hydroelectric, which they said is damaging the rivers, and to demand better maintenance of Italian rivers in general.",people gathered esino river near ancona protest excessive use hydroelectric said damaging river demand better maintenance italian river general,7d3c839bcc89aa0f9fd84ba17a734b108156ade3c4dd005a815b3b2b664c4bcc,note-7d3c839bcc89aa0f
dev,SRB1386,2020-02-05,2020,Serbia,"On 5 February 2020, a protest was held in Subotica, Serbia, demanding better measures against air pollution.",protest held subotica serbia demanding better measure air pollution,4bf5bbab8a10cb066223a9921fe01fbbe4186f0844b6c8338440e2ff51b67717,note-4bf5bbab8a10cb06
